;output;Type of weld_SA;Type of weld_SAA;AC or DC;Chromium concentration / (weight%);Heat input / kJmm-1;Vanadium concentration / (weight%);Nitrogen concentration / parts per million by weight;Type of weld_MMA;Niobium concentration / parts per million by weight;Post weld heat treatment temperature / °C;Molybdenum concentration / (weight%);Phosphorus concentration / (weight%);Current / A;Sulphur concentration / (weight%);Manganese concentration / (weight%);Voltage / V;Type of weld_GTAA;Carbon concentration / (weight%);Type of weld_GMAA
output;0.0;0.006832269692169269;0.004842787540330152;0.026980271738264106;0.06757837532485966;0.013558049617923975;0.02649099492607697;0.04722081185483695;0.03288261234003562;0.14350946012194188;0.0941657873183964;0.04995054114616423;0.08251337786908278;0.013899163302026373;0.052090956712617584;0.029599300181628416;0.013899163226242465;0.012564781501738087;0.017700491510220163;0.016965663654750756
Type of weld_SA;0.006832269692169269;0.0;0.008347968297181926;0.037918191924124475;0.0020717358448966543;0.0067850848031066275;0.0011941208500716688;0.037439394447408764;0.05284891864620442;0.016369000598193805;0.0031810959167009427;0.002695841139210671;0.029226814190464964;0.036248763164929906;0.02600936932547303;0.014264283793228012;0.03624876314461607;0.016344609306303767;0.041789852149177846;0.04712633365296123
Type of weld_SAA;0.004842787540330152;0.008347968297181926;0.0;0.014329658067018533;0.013289656086154377;0.007096477318975668;0.003770732452447551;0.014446835929688413;0.018570934098491924;0.01900184481541898;0.01956694272888027;0.0022437460472905383;0.029659288985463238;0.00970700378678606;0.00044392843634000445;0.006868275544129469;0.009707003729611297;0.005097437966046154;0.037221401056952964;0.01418643871792406
AC or DC;0.02698027173826411;0.037918191924124475;0.014329658067018533;0.0;0.40699837675248957;0.010242932392826356;0.34165370990018173;0.243548183728215;0.0372309285082866;0.4231586085556792;0.03444871625087423;0.40257873794944476;0.030185910002675117;0.623170498058891;0.01905645960140342;0.033973487338650826;0.6231704981052552;0.01740159718237292;0.02495109668081605;0.03142210714536338
Chromium concentration / (weight%);0.06757837532485966;0.0020717358448966543;0.013289656086154377;0.40699837675248957;0.0;0.006952533735495451;0.39968162222379994;0.14404090443027504;0.03399840097396694;0.36542361288869674;0.09370958902017436;0.7610610915439076;0.011654838438942735;0.3336251151967884;0.05183859561957654;0.06195377856977642;0.33362511529867356;0.0063056363629017545;0.029888884731634893;0.03305572322010394
Heat input / kJmm-1;0.013558049617923975;0.006785084803106627;0.007096477318975668;0.010242932392826358;0.0069525337354954505;2.220446049250313e-16;0.02910776817766524;0.007651785215334386;0.007040089439284856;0.018354477012619243;0.023840174280110895;0.01257313001289866;0.03177468277276275;0.02338368161416948;0.00981661628596352;0.017160579170898395;0.023383681476264857;0.02894052694440279;0.010391224411652493;0.023657905903418333
Vanadium concentration / (weight%);0.02649099492607697;0.0011941208500716686;0.0037707324524475505;0.3416537099001817;0.39968162222379994;0.029107768177665243;1.1102230246251565e-16;0.407101016020704;0.02665590906253235;0.7314444026763156;0.0786642661648962;0.5531892827349694;0.006017099819545247;0.20044909819415999;0.05577712150553235;0.027554001654452688;0.20044909838560718;3.8209008448151934e-05;0.032362378983899605;0.019367892707542897
Nitrogen concentration / parts per million by weight;0.04722081185483695;0.037439394447408764;0.014446835929688413;0.243548183728215;0.14404090443027504;0.007651785215334386;0.407101016020704;0.0;0.0008479020354355061;0.3086557813481978;0.14144517930268405;0.298630861464359;0.05471060258690882;0.1443543079065105;0.031020260568578983;0.018733665026524775;0.1443543080571165;0.05557105754005269;0.03334189714091772;0.034598193447354604
Type of weld_MMA;0.03288261234003562;0.05284891864620442;0.018570934098491924;0.0372309285082866;0.03399840097396694;0.007040089439284856;0.02665590906253235;0.0008479020354355061;0.0;0.005506136233194389;0.02527543408889637;0.010525548379758226;0.014975002913285856;0.004723437905159456;0.006904168446255411;0.011302417622525759;0.00472343798755425;0.0028439356033223705;0.03091684902975448;0.05172015727526034
Niobium concentration / parts per million by weight;0.14350946012194188;0.016369000598193805;0.01900184481541898;0.4231586085556792;0.36542361288869674;0.018354477012619243;0.7314444026763156;0.3086557813481979;0.005506136233194389;0.0;0.09743041088063503;0.3285114863581157;0.08537402460167742;0.2760192048133629;0.053896892769284555;0.04848657395583819;0.2760192048969282;0.008149341599679817;0.022571245862654157;0.004490265084871549
Post weld heat treatment temperature / °C;0.0941657873183964;0.0031810959167009427;0.01956694272888027;0.03444871625087423;0.09370958902017433;0.023840174280110895;0.0786642661648962;0.14144517930268402;0.02527543408889637;0.09743041088063503;0.0;0.09269198678627341;0.006950173174898659;0.037430401204386315;0.004387667196297258;0.006247665974734964;0.03743040103000366;0.006489725629141158;0.004657400028108464;0.020881097548979863
Molybdenum concentration / (weight%);0.04995054114616423;0.002695841139210671;0.002243746047290538;0.4025787379494447;0.7610610915439077;0.012573130012898658;0.5531892827349693;0.298630861464359;0.010525548379758227;0.3285114863581157;0.09269198678627343;0.0;0.0812219499276515;0.3288767580759319;0.05127567470689726;0.04726372483107242;0.32887675827514956;0.0400853439084375;0.03246311044119458;0.049395816031892366
Phosphorus concentration / (weight%);0.08251337786908278;0.029226814190464964;0.029659288985463234;0.030185910002675117;0.011654838438942734;0.03177468277276275;0.0060170998195452465;0.05471060258690882;0.014975002913285856;0.08537402460167742;0.00695017317489866;0.0812219499276515;0.0;0.03279863074201642;0.6313031673883401;0.027666787894272595;0.032798630807162846;0.021796427627473195;0.007157380552260102;0.028213574994019663
Current / A;0.013899163302026373;0.036248763164929906;0.00970700378678606;0.623170498058891;0.3336251151967884;0.02338368161416948;0.20044909819415999;0.14435430790651047;0.004723437905159456;0.27601920481336284;0.037430401204386315;0.3288767580759319;0.03279863074201643;0.0;0.020705879280381756;0.018626259922514148;1.0;0.014912364259161766;0.05228973108031763;0.016343088041396083
Sulphur concentration / (weight%);0.052090956712617584;0.026009369325473028;0.00044392843634000445;0.01905645960140342;0.051838595619576544;0.00981661628596352;0.05577712150553236;0.031020260568578987;0.006904168446255411;0.053896892769284555;0.004387667196297258;0.05127567470689727;0.6313031673883402;0.020705879280381756;0.0;0.030048440602067922;0.020705879408509247;0.030403372762534034;0.011467059786670144;0.03803935964915911
Manganese concentration / (weight%);0.029599300181628416;0.014264283793228014;0.006868275544129469;0.033973487338650826;0.06195377856977642;0.017160579170898395;0.027554001654452688;0.018733665026524775;0.011302417622525759;0.048486573955838184;0.006247665974734964;0.04726372483107242;0.02766678789427259;0.018626259922514148;0.03004844060206792;2.220446049250313e-16;0.018626259790972804;0.01882810552526922;0.008040540453210626;0.0001660156297825462
Voltage / V;0.013899163226242461;0.03624876314461607;0.009707003729611299;0.6231704981052552;0.33362511529867356;0.023383681476264857;0.20044909838560718;0.1443543080571165;0.00472343798755425;0.2760192048969282;0.03743040103000366;0.32887675827514956;0.032798630807162846;1.0;0.020705879408509244;0.0186262597909728;0.0;0.014912364201851037;0.052289731289041894;0.016343088114114866
Type of weld_GTAA;0.012564781501738087;0.016344609306303767;0.005097437966046154;0.017401597182372917;0.0063056363629017545;0.02894052694440279;3.820900844815194e-05;0.0555710575400527;0.0028439356033223705;0.008149341599679819;0.006489725629141158;0.04008534390843751;0.021796427627473195;0.014912364259161764;0.030403372762534034;0.01882810552526922;0.014912364201851035;0.0;0.04526077572755973;0.024080054701746744
Carbon concentration / (weight%);0.017700491510220163;0.041789852149177846;0.037221401056952964;0.02495109668081605;0.02988888473163489;0.010391224411652493;0.032362378983899605;0.03334189714091772;0.030916849029754476;0.022571245862654153;0.004657400028108464;0.03246311044119458;0.007157380552260103;0.05228973108031763;0.011467059786670142;0.008040540453210626;0.05228973128904189;0.04526077572755973;0.0;0.002159397104249607
Type of weld_GMAA;0.01696566365475076;0.047126333652961226;0.01418643871792406;0.03142210714536338;0.03305572322010394;0.023657905903418333;0.019367892707542897;0.034598193447354604;0.05172015727526034;0.004490265084871549;0.020881097548979863;0.049395816031892366;0.028213574994019663;0.016343088041396083;0.03803935964915911;0.00016601562978254617;0.016343088114114866;0.024080054701746748;0.002159397104249607;0.0
